level-0,level-1,level-2,level-3,level-4,level-5
74581,72035-172035,72035-272035,72035-472035,72035-872035,any
74593,72046-172046,72046-272046,72046-472046,72046-872046,any
74631,72083-172083,72083-272083,72083-472083,72083-872083,any
74660,72111-172111,72111-272111,72111-472111,72111-872111,any
74680,72130-172130,72130-272130,72130-472130,72130-872130,any
74712,72161-172161,72161-272161,72161-472161,72161-872161,any
74775,72223-172223,72223-272223,72223-472223,72223-872223,any
74784,72231-172231,72231-272231,72231-472231,72231-872231,any
74791,72237-172237,72237-272237,72237-472237,72237-872237,any
74795,72240-172240,72240-272240,72240-472240,72240-872240,any
74879,72323-172323,72323-272323,72323-472323,72323-872323,any
74883,72326-172326,72326-272326,72326-472326,72326-872326,any
74895,72337-172337,72337-272337,72337-472337,72337-872337,any
74949,72390-172390,72390-272390,72390-472390,72390-872390,any
74966,72406-172406,72406-272406,72406-472406,72406-872406,any
74977,72416-172416,72416-272416,72416-472416,72416-872416,any
75012,72450-172450,72450-272450,72450-472450,72450-872450,any
75024,72461-172461,72461-272461,72461-472461,72461-872461,any
75050,72486-172486,72486-272486,72486-472486,72486-872486,any
75065,72500-172500,72500-272500,72500-472500,72500-872500,any
75073,72507-172507,72507-272507,72507-472507,72507-872507,any
75104,72537-172537,72537-272537,72537-472537,72537-872537,any
75134,72566-172566,72566-272566,72566-472566,72566-872566,any
75167,72598-172598,72598-272598,72598-472598,72598-872598,any
75214,72644-172644,72644-272644,72644-472644,72644-872644,any
75227,72656-172656,72656-272656,72656-472656,72656-872656,any
75235,72663-172663,72663-272663,72663-472663,72663-872663,any
75256,72683-172683,72683-272683,72683-472683,72683-872683,any
75313,72739-172739,72739-272739,72739-472739,72739-872739,any
75333,72758-172758,72758-272758,72758-472758,72758-872758,any
75363,72787-172787,72787-272787,72787-472787,72787-872787,any
75409,72832-172832,72832-272832,72832-472832,72832-872832,any
75435,72857-172857,72857-272857,72857-472857,72857-872857,any
75472,72893-172893,72893-272893,72893-472893,72893-872893,any
75478,72898-172898,72898-272898,72898-472898,72898-872898,any
75573,72992-172992,72992-272992,72992-472992,72992-872992,any
75577,72995-172995,72995-272995,72995-472995,72995-872995,any
75648,73065-173065,73065-273065,73065-473065,73065-873065,any
75654,73070-173070,73070-273070,73070-473070,73070-873070,any
75673,73088-173088,73088-273088,73088-473088,73088-873088,any
75695,73109-173109,73109-273109,73109-473109,73109-873109,any
75726,73139-173139,73139-273139,73139-473139,73139-873139,any
75742,73154-173154,73154-273154,73154-473154,73154-873154,any
75755,73166-173166,73166-273166,73166-473166,73166-873166,any
75759,73169-173169,73169-273169,73169-473169,73169-873169,any
75763,73172-173172,73172-273172,73172-473172,73172-873172,any
75785,73193-173193,73193-273193,73193-473193,73193-873193,any
75804,73211-173211,73211-273211,73211-473211,73211-873211,any
75821,73227-173227,73227-273227,73227-473227,73227-873227,any
75826,73231-173231,73231-273231,73231-473231,73231-873231,any
75839,73243-173243,73243-273243,73243-473243,73243-873243,any
75855,73258-173258,73258-273258,73258-473258,73258-873258,any
75867,73269-173269,73269-273269,73269-473269,73269-873269,any
75890,73291-173291,73291-273291,73291-473291,73291-873291,any
75891,73291-173291,73291-273291,73291-473291,73291-873291,any
75913,73312-173312,73312-273312,73312-473312,73312-873312,any
75993,73391-173391,73391-273391,73391-473391,73391-873391,any
75995,73392-173392,73392-273392,73392-473392,73392-873392,any
76008,73404-173404,73404-273404,73404-473404,73404-873404,any
76017,73412-173412,73412-273412,73412-473412,73412-873412,any
76034,73428-173428,73428-273428,73428-473428,73428-873428,any
76043,73436-173436,73436-273436,73436-473436,73436-873436,any
76107,73499-173499,73499-273499,73499-473499,73499-873499,any
76127,73518-173518,73518-273518,73518-473518,73518-873518,any
76129,73519-173519,73519-273519,73519-473519,73519-873519,any
76131,73520-173520,73520-273520,73520-473520,73520-873520,any
76142,73530-173530,73530-273530,73530-473530,73530-873530,any
76144,73531-173531,73531-273531,73531-473531,73531-873531,any
76196,73582-173582,73582-273582,73582-473582,73582-873582,any
76198,73583-173583,73583-273583,73583-473583,73583-873583,any
76212,73596-173596,73596-273596,73596-473596,73596-873596,any
76280,73663-173663,73663-273663,73663-473663,73663-873663,any
76281,73663-173663,73663-273663,73663-473663,73663-873663,any
76313,73694-173694,73694-273694,73694-473694,73694-873694,any
76317,73697-173697,73697-273697,73697-473697,73697-873697,any
76344,73723-173723,73723-273723,73723-473723,73723-873723,any
76371,73749-173749,73749-273749,73749-473749,73749-873749,any
76417,73794-173794,73794-273794,73794-473794,73794-873794,any
76432,73808-173808,73808-273808,73808-473808,73808-873808,any
76437,73812-173812,73812-273812,73812-473812,73812-873812,any
76460,73834-173834,73834-273834,73834-473834,73834-873834,any
76482,73855-173855,73855-273855,73855-473855,73855-873855,any
76487,73859-173859,73859-273859,73859-473859,73859-873859,any
76491,73862-173862,73862-273862,73862-473862,73862-873862,any
76612,73982-173982,73982-273982,73982-473982,73982-873982,any
76625,73994-173994,73994-273994,73994-473994,73994-873994,any
76641,74009-174009,74009-274009,74009-474009,74009-874009,any
76714,74081-174081,74081-274081,74081-474081,74081-874081,any
76720,74086-174086,74086-274086,74086-474086,74086-874086,any
76767,74132-174132,74132-274132,74132-474132,74132-874132,any
76773,74137-174137,74137-274137,74137-474137,74137-874137,any
76845,74208-174208,74208-274208,74208-474208,74208-874208,any
76855,74217-174217,74217-274217,74217-474217,74217-874217,any
76860,74221-174221,74221-274221,74221-474221,74221-874221,any
76878,74238-174238,74238-274238,74238-474238,74238-874238,any
76893,74252-174252,74252-274252,74252-474252,74252-874252,any
76900,74258-174258,74258-274258,74258-474258,74258-874258,any
76901,74258-174258,74258-274258,74258-474258,74258-874258,any
76939,74295-174295,74295-274295,74295-474295,74295-874295,any
76968,74323-174323,74323-274323,74323-474323,74323-874323,any
76978,74332-174332,74332-274332,74332-474332,74332-874332,any
76996,74349-174349,74349-274349,74349-474349,74349-874349,any
77005,74357-174357,74357-274357,74357-474357,74357-874357,any
77009,74360-174360,74360-274360,74360-474360,74360-874360,any
77053,74403-174403,74403-274403,74403-474403,74403-874403,any
77071,74420-174420,74420-274420,74420-474420,74420-874420,any
77085,74433-174433,74433-274433,74433-474433,74433-874433,any
77102,74449-174449,74449-274449,74449-474449,74449-874449,any
77132,74478-174478,74478-274478,74478-474478,74478-874478,any
77143,74488-174488,74488-274488,74488-474488,74488-874488,any
77146,74490-174490,74490-274490,74490-474490,74490-874490,any
77207,74550-174550,74550-274550,74550-474550,74550-874550,any
77209,74551-174551,74551-274551,74551-474551,74551-874551,any
77219,74560-174560,74560-274560,74560-474560,74560-874560,any
77247,74587-174587,74587-274587,74587-474587,74587-874587,any
77253,74592-174592,74592-274592,74592-474592,74592-874592,any
77266,74604-174604,74604-274604,74604-474604,74604-874604,any
77271,74608-174608,74608-274608,74608-474608,74608-874608,any
77313,74649-174649,74649-274649,74649-474649,74649-874649,any
77332,74667-174667,74667-274667,74667-474667,74667-874667,any
77336,74670-174670,74670-274670,74670-474670,74670-874670,any
77357,74690-174690,74690-274690,74690-474690,74690-874690,any
77370,74702-174702,74702-274702,74702-474702,74702-874702,any
77373,74704-174704,74704-274704,74704-474704,74704-874704,any
77392,74722-174722,74722-274722,74722-474722,74722-874722,any
77415,74744-174744,74744-274744,74744-474744,74744-874744,any
77516,74844-174844,74844-274844,74844-474844,74844-874844,any
77572,74899-174899,74899-274899,74899-474899,74899-874899,any
77581,74907-174907,74907-274907,74907-474907,74907-874907,any
77634,74959-174959,74959-274959,74959-474959,74959-874959,any
77651,74975-174975,74975-274975,74975-474975,74975-874975,any
77661,74984-174984,74984-274984,74984-474984,74984-874984,any
77665,74987-174987,74987-274987,74987-474987,74987-874987,any
77689,75010-175010,75010-275010,75010-475010,75010-875010,any
77698,75018-175018,75018-275018,75018-475018,75018-875018,any
77723,75042-175042,75042-275042,75042-475042,75042-875042,any
77759,75077-175077,75077-275077,75077-475077,75077-875077,any
77760,75077-175077,75077-275077,75077-475077,75077-875077,any
77764,75080-175080,75080-275080,75080-475080,75080-875080,any
77774,75089-175089,75089-275089,75089-475089,75089-875089,any
77820,75134-175134,75134-275134,75134-475134,75134-875134,any
77845,75158-175158,75158-275158,75158-475158,75158-875158,any
77873,75185-175185,75185-275185,75185-475185,75185-875185,any
77884,75195-175195,75195-275195,75195-475195,75195-875195,any
77905,75215-175215,75215-275215,75215-475215,75215-875215,any
77927,75236-175236,75236-275236,75236-475236,75236-875236,any
77937,75245-175245,75245-275245,75245-475245,75245-875245,any
77975,75282-175282,75282-275282,75282-475282,75282-875282,any
78012,75318-175318,75318-275318,75318-475318,75318-875318,any
78022,75327-175327,75327-275327,75327-475327,75327-875327,any
78036,75340-175340,75340-275340,75340-475340,75340-875340,any
78045,75348-175348,75348-275348,75348-475348,75348-875348,any
78090,75392-175392,75392-275392,75392-475392,75392-875392,any
78104,75405-175405,75405-275405,75405-475405,75405-875405,any
78141,75441-175441,75441-275441,75441-475441,75441-875441,any
78170,75469-175469,75469-275469,75469-475469,75469-875469,any
78171,75469-175469,75469-275469,75469-475469,75469-875469,any
78172,75469-175469,75469-275469,75469-475469,75469-875469,any
78181,75477-175477,75477-275477,75477-475477,75477-875477,any
78247,75542-175542,75542-275542,75542-475542,75542-875542,any
78255,75549-175549,75549-275549,75549-475549,75549-875549,any
78258,75551-175551,75551-275551,75551-475551,75551-875551,any
78261,75553-175553,75553-275553,75553-475553,75553-875553,any
78277,75568-175568,75568-275568,75568-475568,75568-875568,any
78291,75581-175581,75581-275581,75581-475581,75581-875581,any
78307,75596-175596,75596-275596,75596-475596,75596-875596,any
78356,75644-175644,75644-275644,75644-475644,75644-875644,any
78374,75661-175661,75661-275661,75661-475661,75661-875661,any
78383,75669-175669,75669-275669,75669-475669,75669-875669,any
78388,75673-175673,75673-275673,75673-475673,75673-875673,any
78410,75694-175694,75694-275694,75694-475694,75694-875694,any
78424,75707-175707,75707-275707,75707-475707,75707-875707,any
78529,75811-175811,75811-275811,75811-475811,75811-875811,any
78530,75811-175811,75811-275811,75811-475811,75811-875811,any
78567,75847-175847,75847-275847,75847-475847,75847-875847,any
78602,75881-175881,75881-275881,75881-475881,75881-875881,any
78631,75909-175909,75909-275909,75909-475909,75909-875909,any
78634,75911-175911,75911-275911,75911-475911,75911-875911,any
78649,75925-175925,75925-275925,75925-475925,75925-875925,any
78707,75982-175982,75982-275982,75982-475982,75982-875982,any
78765,76039-176039,76039-276039,76039-476039,76039-876039,any
78786,76059-176059,76059-276059,76059-476059,76059-876059,any
78817,76089-176089,76089-276089,76089-476089,76089-876089,any
78855,76126-176126,76126-276126,76126-476126,76126-876126,any
78859,76129-176129,76129-276129,76129-476129,76129-876129,any
78866,76135-176135,76135-276135,76135-476135,76135-876135,any
78870,76138-176138,76138-276138,76138-476138,76138-876138,any
78875,76142-176142,76142-276142,76142-476142,76142-876142,any
78913,76179-176179,76179-276179,76179-476179,76179-876179,any
78928,76193-176193,76193-276193,76193-476193,76193-876193,any
78980,76244-176244,76244-276244,76244-476244,76244-876244,any
79019,76282-176282,76282-276282,76282-476282,76282-876282,any
79036,76298-176298,76298-276298,76298-476298,76298-876298,any
79050,76311-176311,76311-276311,76311-476311,76311-876311,any
79190,76450-176450,76450-276450,76450-476450,76450-876450,any
79272,76531-176531,76531-276531,76531-476531,76531-876531,any
79303,76561-176561,76561-276561,76561-476561,76561-876561,any
79324,76581-176581,76581-276581,76581-476581,76581-876581,any
79331,76587-176587,76587-276587,76587-476587,76587-876587,any
79372,76627-176627,76627-276627,76627-476627,76627-876627,any
79387,76641-176641,76641-276641,76641-476641,76641-876641,any
79440,76693-176693,76693-276693,76693-476693,76693-876693,any
79443,76695-176695,76695-276695,76695-476695,76695-876695,any
79445,76696-176696,76696-276696,76696-476696,76696-876696,any
79448,76698-176698,76698-276698,76698-476698,76698-876698,any
79481,76730-176730,76730-276730,76730-476730,76730-876730,any
79531,76779-176779,76779-276779,76779-476779,76779-876779,any
79539,76786-176786,76786-276786,76786-476786,76786-876786,any
79580,76826-176826,76826-276826,76826-476826,76826-876826,any
79586,76831-176831,76831-276831,76831-476831,76831-876831,any
79619,76863-176863,76863-276863,76863-476863,76863-876863,any
79627,76870-176870,76870-276870,76870-476870,76870-876870,any
79637,76879-176879,76879-276879,76879-476879,76879-876879,any
79646,76887-176887,76887-276887,76887-476887,76887-876887,any
79649,76889-176889,76889-276889,76889-476889,76889-876889,any
79682,76921-176921,76921-276921,76921-476921,76921-876921,any
79691,76929-176929,76929-276929,76929-476929,76929-876929,any
79712,76949-176949,76949-276949,76949-476949,76949-876949,any
79728,76964-176964,76964-276964,76964-476964,76964-876964,any
79787,77022-177022,77022-277022,77022-477022,77022-877022,any
79797,77031-177031,77031-277031,77031-477031,77031-877031,any
79827,77060-177060,77060-277060,77060-477060,77060-877060,any
79830,77062-177062,77062-277062,77062-477062,77062-877062,any
79864,77095-177095,77095-277095,77095-477095,77095-877095,any
79870,77100-177100,77100-277100,77100-477100,77100-877100,any
79874,77103-177103,77103-277103,77103-477103,77103-877103,any
79923,77151-177151,77151-277151,77151-477151,77151-877151,any
79980,77207-177207,77207-277207,77207-477207,77207-877207,any
79990,77216-177216,77216-277216,77216-477216,77216-877216,any
80004,77229-177229,77229-277229,77229-477229,77229-877229,any
80057,77281-177281,77281-277281,77281-477281,77281-877281,any
80058,77281-177281,77281-277281,77281-477281,77281-877281,any
80077,77299-177299,77299-277299,77299-477299,77299-877299,any
80145,77366-177366,77366-277366,77366-477366,77366-877366,any
80158,77378-177378,77378-277378,77378-477378,77378-877378,any
80163,77382-177382,77382-277382,77382-477382,77382-877382,any
80165,77383-177383,77383-277383,77383-477383,77383-877383,any
80167,77384-177384,77384-277384,77384-477384,77384-877384,any
80174,77390-177390,77390-277390,77390-477390,77390-877390,any
80249,77464-177464,77464-277464,77464-477464,77464-877464,any
80282,77496-177496,77496-277496,77496-477496,77496-877496,any
80303,77516-177516,77516-277516,77516-477516,77516-877516,any
80312,77524-177524,77524-277524,77524-477524,77524-877524,any
80324,77535-177535,77535-277535,77535-477535,77535-877535,any
80333,77543-177543,77543-277543,77543-477543,77543-877543,any
80410,77619-177619,77619-277619,77619-477619,77619-877619,any
80430,77638-177638,77638-277638,77638-477638,77638-877638,any
80445,77652-177652,77652-277652,77652-477652,77652-877652,any
80467,77673-177673,77673-277673,77673-477673,77673-877673,any
80479,77684-177684,77684-277684,77684-477684,77684-877684,any
80485,77689-177689,77689-277689,77689-477689,77689-877689,any
80511,77714-177714,77714-277714,77714-477714,77714-877714,any
80564,77766-177766,77766-277766,77766-477766,77766-877766,any
80572,77773-177773,77773-277773,77773-477773,77773-877773,any
80574,77774-177774,77774-277774,77774-477774,77774-877774,any
80616,77815-177815,77815-277815,77815-477815,77815-877815,any
80625,77823-177823,77823-277823,77823-477823,77823-877823,any
80638,77835-177835,77835-277835,77835-477835,77835-877835,any
80651,77847-177847,77847-277847,77847-477847,77847-877847,any
80680,77875-177875,77875-277875,77875-477875,77875-877875,any
80710,77904-177904,77904-277904,77904-477904,77904-877904,any
80743,77936-177936,77936-277936,77936-477936,77936-877936,any
80771,77963-177963,77963-277963,77963-477963,77963-877963,any
80896,78087-178087,78087-278087,78087-478087,78087-878087,any
80914,78104-178104,78104-278104,78104-478104,78104-878104,any
80924,78113-178113,78113-278113,78113-478113,78113-878113,any
80933,78121-178121,78121-278121,78121-478121,78121-878121,any
80945,78132-178132,78132-278132,78132-478132,78132-878132,any
80986,78172-178172,78172-278172,78172-478172,78172-878172,any
81030,78215-178215,78215-278215,78215-478215,78215-878215,any
81038,78222-178222,78222-278222,78222-478222,78222-878222,any
81054,78237-178237,78237-278237,78237-478237,78237-878237,any
81057,78239-178239,78239-278239,78239-478239,78239-878239,any
81107,78288-178288,78288-278288,78288-478288,78288-878288,any
81116,78296-178296,78296-278296,78296-478296,78296-878296,any
81132,78311-178311,78311-278311,78311-478311,78311-878311,any
81136,78314-178314,78314-278314,78314-478314,78314-878314,any
81145,78322-178322,78322-278322,78322-478322,78322-878322,any
81154,78330-178330,78330-278330,78330-478330,78330-878330,any
81206,78381-178381,78381-278381,78381-478381,78381-878381,any
81220,78394-178394,78394-278394,78394-478394,78394-878394,any
81223,78396-178396,78396-278396,78396-478396,78396-878396,any
81232,78404-178404,78404-278404,78404-478404,78404-878404,any
81243,78414-178414,78414-278414,78414-478414,78414-878414,any
81259,78429-178429,78429-278429,78429-478429,78429-878429,any
81280,78449-178449,78449-278449,78449-478449,78449-878449,any
81281,78449-178449,78449-278449,78449-478449,78449-878449,any
81282,78449-178449,78449-278449,78449-478449,78449-878449,any
81286,78452-178452,78452-278452,78452-478452,78452-878452,any
81400,78565-178565,78565-278565,78565-478565,78565-878565,any
81413,78577-178577,78577-278577,78577-478577,78577-878577,any
81436,78599-178599,78599-278599,78599-478599,78599-878599,any
81487,78649-178649,78649-278649,78649-478649,78649-878649,any
81497,78658-178658,78658-278658,78658-478658,78658-878658,any
81513,78673-178673,78673-278673,78673-478673,78673-878673,any
81528,78687-178687,78687-278687,78687-478687,78687-878687,any
81534,78692-178692,78692-278692,78692-478692,78692-878692,any
81540,78697-178697,78697-278697,78697-478697,78697-878697,any
81548,78704-178704,78704-278704,78704-478704,78704-878704,any
81578,78733-178733,78733-278733,78733-478733,78733-878733,any
81642,78796-178796,78796-278796,78796-478796,78796-878796,any
81648,78801-178801,78801-278801,78801-478801,78801-878801,any
81654,78806-178806,78806-278806,78806-478806,78806-878806,any
81761,78912-178912,78912-278912,78912-478912,78912-878912,any
81794,78944-178944,78944-278944,78944-478944,78944-878944,any
81846,78995-178995,78995-278995,78995-478995,78995-878995,any
81853,79001-179001,79001-279001,79001-479001,79001-879001,any
81859,79006-179006,79006-279006,79006-479006,79006-879006,any
81865,79011-179011,79011-279011,79011-479011,79011-879011,any
81896,79041-179041,79041-279041,79041-479041,79041-879041,any
81929,79073-179073,79073-279073,79073-479073,79073-879073,any
81954,79097-179097,79097-279097,79097-479097,79097-879097,any
81965,79107-179107,79107-279107,79107-479107,79107-879107,any
81973,79114-179114,79114-279114,79114-479114,79114-879114,any
82041,79181-179181,79181-279181,79181-479181,79181-879181,any
82049,79188-179188,79188-279188,79188-479188,79188-879188,any
82051,79189-179189,79189-279189,79189-479189,79189-879189,any
82077,79214-179214,79214-279214,79214-479214,79214-879214,any
82098,79234-179234,79234-279234,79234-479234,79234-879234,any
82161,79296-179296,79296-279296,79296-479296,79296-879296,any
82210,79344-179344,79344-279344,79344-479344,79344-879344,any
82242,79375-179375,79375-279375,79375-479375,79375-879375,any
82246,79378-179378,79378-279378,79378-479378,79378-879378,any
82283,79414-179414,79414-279414,79414-479414,79414-879414,any
82285,79415-179415,79415-279415,79415-479415,79415-879415,any
82297,79426-179426,79426-279426,79426-479426,79426-879426,any
82319,79447-179447,79447-279447,79447-479447,79447-879447,any
82388,79515-179515,79515-279515,79515-479515,79515-879515,any
82393,79519-179519,79519-279519,79519-479519,79519-879519,any
82465,79590-179590,79590-279590,79590-479590,79590-879590,any
82473,79597-179597,79597-279597,79597-479597,79597-879597,any
82488,79611-179611,79611-279611,79611-479611,79611-879611,any
82497,79619-179619,79619-279619,79619-479619,79619-879619,any
82504,79625-179625,79625-279625,79625-479625,79625-879625,any
82521,79641-179641,79641-279641,79641-479641,79641-879641,any
82531,79650-179650,79650-279650,79650-479650,79650-879650,any
82540,79658-179658,79658-279658,79658-479658,79658-879658,any
82551,79668-179668,79668-279668,79668-479668,79668-879668,any
82552,79668-179668,79668-279668,79668-479668,79668-879668,any
82560,79675-179675,79675-279675,79675-479675,79675-879675,any
82566,79680-179680,79680-279680,79680-479680,79680-879680,any
82572,79685-179685,79685-279685,79685-479685,79685-879685,any
82576,79688-179688,79688-279688,79688-479688,79688-879688,any
82578,79689-179689,79689-279689,79689-479689,79689-879689,any
82601,79711-179711,79711-279711,79711-479711,79711-879711,any
82622,79731-179731,79731-279731,79731-479731,79731-879731,any
82623,79731-179731,79731-279731,79731-479731,79731-879731,any
82628,79735-179735,79735-279735,79735-479735,79735-879735,any
82635,79741-179741,79741-279741,79741-479741,79741-879741,any
82646,79751-179751,79751-279751,79751-479751,79751-879751,any
82649,79753-179753,79753-279753,79753-479753,79753-879753,any
82743,79846-179846,79846-279846,79846-479846,79846-879846,any
82775,79877-179877,79877-279877,79877-479877,79877-879877,any
82777,79878-179878,79878-279878,79878-479878,79878-879878,any
82778,79878-179878,79878-279878,79878-479878,79878-879878,any
82783,79882-179882,79882-279882,79882-479882,79882-879882,any
82797,79895-179895,79895-279895,79895-479895,79895-879895,any
82804,79901-179901,79901-279901,79901-479901,79901-879901,any
82815,79911-179911,79911-279911,79911-479911,79911-879911,any
82847,79942-179942,79942-279942,79942-479942,79942-879942,any
82880,79974-179974,79974-279974,79974-479974,79974-879974,any
82889,79982-179982,79982-279982,79982-479982,79982-879982,any
82910,80002-180002,80002-280002,80002-480002,80002-880002,any
82938,80029-180029,80029-280029,80029-480029,80029-880029,any
82946,80036-180036,80036-280036,80036-480036,80036-880036,any
82998,80087-180087,80087-280087,80087-480087,80087-880087,any
83003,80091-180091,80091-280091,80091-480091,80091-880091,any
83033,80120-180120,80120-280120,80120-480120,80120-880120,any
83043,80129-180129,80129-280129,80129-480129,80129-880129,any
83045,80130-180130,80130-280130,80130-480130,80130-880130,any
83046,80130-180130,80130-280130,80130-480130,80130-880130,any
83064,80147-180147,80147-280147,80147-480147,80147-880147,any
83066,80148-180148,80148-280148,80148-480148,80148-880148,any
83082,80163-180163,80163-280163,80163-480163,80163-880163,any
83089,80169-180169,80169-280169,80169-480169,80169-880169,any
83141,80220-180220,80220-280220,80220-480220,80220-880220,any
83196,80274-180274,80274-280274,80274-480274,80274-880274,any
83237,80314-180314,80314-280314,80314-480314,80314-880314,any
83242,80318-180318,80318-280318,80318-480318,80318-880318,any
83253,80328-180328,80328-280328,80328-480328,80328-880328,any
83286,80360-180360,80360-280360,80360-480360,80360-880360,any
83311,80384-180384,80384-280384,80384-480384,80384-880384,any
83315,80387-180387,80387-280387,80387-480387,80387-880387,any
83348,80419-180419,80419-280419,80419-480419,80419-880419,any
83374,80444-180444,80444-280444,80444-480444,80444-880444,any
83375,80444-180444,80444-280444,80444-480444,80444-880444,any
83401,80469-180469,80469-280469,80469-480469,80469-880469,any
83411,80478-180478,80478-280478,80478-480478,80478-880478,any
83413,80479-180479,80479-280479,80479-480479,80479-880479,any
83425,80490-180490,80490-280490,80490-480490,80490-880490,any
83434,80498-180498,80498-280498,80498-480498,80498-880498,any
83439,80502-180502,80502-280502,80502-480502,80502-880502,any
83444,80506-180506,80506-280506,80506-480506,80506-880506,any
83446,80507-180507,80507-280507,80507-480507,80507-880507,any
83451,80511-180511,80511-280511,80511-480511,80511-880511,any
83471,80530-180530,80530-280530,80530-480530,80530-880530,any
83492,80550-180550,80550-280550,80550-480550,80550-880550,any
83508,80565-180565,80565-280565,80565-480565,80565-880565,any
83511,80567-180567,80567-280567,80567-480567,80567-880567,any
83517,80572-180572,80572-280572,80572-480572,80572-880572,any
83542,80596-180596,80596-280596,80596-480596,80596-880596,any
83580,80633-180633,80633-280633,80633-480633,80633-880633,any
83601,80653-180653,80653-280653,80653-480653,80653-880653,any
83610,80661-180661,80661-280661,80661-480661,80661-880661,any
83622,80672-180672,80672-280672,80672-480672,80672-880672,any
83671,80720-180720,80720-280720,80720-480720,80720-880720,any
83696,80744-180744,80744-280744,80744-480744,80744-880744,any
83704,80751-180751,80751-280751,80751-480751,80751-880751,any
83727,80773-180773,80773-280773,80773-480773,80773-880773,any
83742,80787-180787,80787-280787,80787-480787,80787-880787,any
83748,80792-180792,80792-280792,80792-480792,80792-880792,any
83756,80799-180799,80799-280799,80799-480799,80799-880799,any
83783,80825-180825,80825-280825,80825-480825,80825-880825,any
83800,80841-180841,80841-280841,80841-480841,80841-880841,any
83812,80852-180852,80852-280852,80852-480852,80852-880852,any
83827,80866-180866,80866-280866,80866-480866,80866-880866,any
83850,80888-180888,80888-280888,80888-480888,80888-880888,any
83859,80896-180896,80896-280896,80896-480896,80896-880896,any
83861,80897-180897,80897-280897,80897-480897,80897-880897,any
83879,80914-180914,80914-280914,80914-480914,80914-880914,any
83880,80914-180914,80914-280914,80914-480914,80914-880914,any
83891,80924-180924,80924-280924,80924-480924,80924-880924,any
83893,80925-180925,80925-280925,80925-480925,80925-880925,any
83922,80953-180953,80953-280953,80953-480953,80953-880953,any
83930,80960-180960,80960-280960,80960-480960,80960-880960,any
83953,80982-180982,80982-280982,80982-480982,80982-880982,any
83998,81026-181026,81026-281026,81026-481026,81026-881026,any
84013,81040-181040,81040-281040,81040-481040,81040-881040,any
84053,81079-181079,81079-281079,81079-481079,81079-881079,any
84119,81144-181144,81144-281144,81144-481144,81144-881144,any
84130,81154-181154,81154-281154,81154-481154,81154-881154,any
84136,81159-181159,81159-281159,81159-481159,81159-881159,any
84154,81176-181176,81176-281176,81176-481176,81176-881176,any
84179,81200-181200,81200-281200,81200-481200,81200-881200,any
84197,81217-181217,81217-281217,81217-481217,81217-881217,any
84224,81243-181243,81243-281243,81243-481243,81243-881243,any
84231,81249-181249,81249-281249,81249-481249,81249-881249,any
84232,81249-181249,81249-281249,81249-481249,81249-881249,any
84253,81269-181269,81269-281269,81269-481269,81269-881269,any
84257,81272-181272,81272-281272,81272-481272,81272-881272,any
84278,81292-181292,81292-281292,81292-481292,81292-881292,any
84298,81311-181311,81311-281311,81311-481311,81311-881311,any
84306,81318-181318,81318-281318,81318-481318,81318-881318,any
84324,81335-181335,81335-281335,81335-481335,81335-881335,any
84366,81376-181376,81376-281376,81376-481376,81376-881376,any
84375,81384-181384,81384-281384,81384-481384,81384-881384,any
84390,81398-181398,81398-281398,81398-481398,81398-881398,any
84399,81406-181406,81406-281406,81406-481406,81406-881406,any
84402,81408-181408,81408-281408,81408-481408,81408-881408,any
84409,81414-181414,81414-281414,81414-481414,81414-881414,any
84451,81455-181455,81455-281455,81455-481455,81455-881455,any
84535,81538-181538,81538-281538,81538-481538,81538-881538,any
84547,81549-181549,81549-281549,81549-481549,81549-881549,any
84553,81554-181554,81554-281554,81554-481554,81554-881554,any
84560,81560-181560,81560-281560,81560-481560,81560-881560,any
84564,81563-181563,81563-281563,81563-481563,81563-881563,any
84570,81568-181568,81568-281568,81568-481568,81568-881568,any
84587,81584-181584,81584-281584,81584-481584,81584-881584,any
84610,81606-181606,81606-281606,81606-481606,81606-881606,any
84616,81611-181611,81611-281611,81611-481611,81611-881611,any
84619,81613-181613,81613-281613,81613-481613,81613-881613,any
84648,81641-181641,81641-281641,81641-481641,81641-881641,any
84657,81649-181649,81649-281649,81649-481649,81649-881649,any
84661,81652-181652,81652-281652,81652-481652,81652-881652,any
84726,81716-181716,81716-281716,81716-481716,81716-881716,any
84735,81724-181724,81724-281724,81724-481724,81724-881724,any
84737,81725-181725,81725-281725,81725-481725,81725-881725,any
84747,81734-181734,81734-281734,81734-481734,81734-881734,any
84755,81741-181741,81741-281741,81741-481741,81741-881741,any
84756,81741-181741,81741-281741,81741-481741,81741-881741,any
84774,81758-181758,81758-281758,81758-481758,81758-881758,any
84787,81770-181770,81770-281770,81770-481770,81770-881770,any
84790,81772-181772,81772-281772,81772-481772,81772-881772,any
84808,81789-181789,81789-281789,81789-481789,81789-881789,any
84848,81828-181828,81828-281828,81828-481828,81828-881828,any
84888,81867-181867,81867-281867,81867-481867,81867-881867,any
84954,81932-181932,81932-281932,81932-481932,81932-881932,any
84977,81954-181954,81954-281954,81954-481954,81954-881954,any
84979,81955-181955,81955-281955,81955-481955,81955-881955,any
85018,81993-181993,81993-281993,81993-481993,81993-881993,any
85041,82015-182015,82015-282015,82015-482015,82015-882015,any
