level-0,level-1,level-2,level-3
104423,100193-300193,100193-700193,any
104438,100207-300207,100207-700207,any
104439,100207-300207,100207-700207,any
104440,100207-300207,100207-700207,any
104443,100209-300209,100209-700209,any
104455,100220-300220,100220-700220,any
104457,100221-300221,100221-700221,any
104461,100224-300224,100224-700224,any
104501,100263-300263,100263-700263,any
104509,100270-300270,100270-700270,any
104521,100281-300281,100281-700281,any
104525,100284-300284,100284-700284,any
104542,100300-300300,100300-700300,any
104576,100333-300333,100333-700333,any
104613,100369-300369,100369-700369,any
104614,100369-300369,100369-700369,any
104617,100371-300371,100371-700371,any
104632,100385-300385,100385-700385,any
104647,100399-300399,100399-700399,any
104651,100402-300402,100402-700402,any
104660,100410-300410,100410-700410,any
104661,100410-300410,100410-700410,any
104662,100410-300410,100410-700410,any
104663,100410-300410,100410-700410,any
104704,100450-300450,100450-700450,any
104719,100464-300464,100464-700464,any
104724,100468-300468,100468-700468,any
104729,100472-300472,100472-700472,any
104737,100479-300479,100479-700479,any
104746,100487-300487,100487-700487,any
104748,100488-300488,100488-700488,any
104756,100495-300495,100495-700495,any
104772,100510-300510,100510-700510,any
104790,100527-300527,100527-700527,any
104830,100566-300566,100566-700566,any
104834,100569-300569,100569-700569,any
104842,100576-300576,100576-700576,any
104844,100577-300577,100577-700577,any
104849,100581-300581,100581-700581,any
104858,100589-300589,100589-700589,any
104879,100609-300609,100609-700609,any
104892,100621-300621,100621-700621,any
104896,100624-300624,100624-700624,any
104917,100644-300644,100644-700644,any
104945,100671-300671,100671-700671,any
104965,100690-300690,100690-700690,any
104973,100697-300697,100697-700697,any
104981,100704-300704,100704-700704,any
104993,100715-300715,100715-700715,any
104996,100717-300717,100717-700717,any
105010,100730-300730,100730-700730,any
105017,100736-300736,100736-700736,any
105021,100739-300739,100739-700739,any
105043,100760-300760,100760-700760,any
105044,100760-300760,100760-700760,any
105059,100774-300774,100774-700774,any
105060,100774-300774,100774-700774,any
105116,100829-300829,100829-700829,any
105119,100831-300831,100831-700831,any
105138,100849-300849,100849-700849,any
105150,100860-300860,100860-700860,any
105188,100897-300897,100897-700897,any
105189,100897-300897,100897-700897,any
105200,100907-300907,100907-700907,any
105216,100922-300922,100922-700922,any
105244,100949-300949,100949-700949,any
105252,100956-300956,100956-700956,any
105266,100969-300969,100969-700969,any
105273,100975-300975,100975-700975,any
105281,100982-300982,100982-700982,any
105289,100989-300989,100989-700989,any
105304,101003-301003,101003-701003,any
105312,101010-301010,101010-701010,any
105327,101024-301024,101024-701024,any
105339,101035-301035,101035-701035,any
105363,101058-301058,101058-701058,any
105370,101064-301064,101064-701064,any
105376,101069-301069,101069-701069,any
105381,101073-301073,101073-701073,any
105384,101075-301075,101075-701075,any
105422,101112-301112,101112-701112,any
105428,101117-301117,101117-701117,any
105431,101119-301119,101119-701119,any
105438,101125-301125,101125-701125,any
105444,101130-301130,101130-701130,any
105449,101134-301134,101134-701134,any
105460,101144-301144,101144-701144,any
105478,101161-301161,101161-701161,any
105479,101161-301161,101161-701161,any
105491,101172-301172,101172-701172,any
105493,101173-301173,101173-701173,any
105516,101195-301195,101195-701195,any
105540,101218-301218,101218-701218,any
105577,101254-301254,101254-701254,any
105582,101258-301258,101258-701258,any
105585,101260-301260,101260-701260,any
105586,101260-301260,101260-701260,any
105592,101265-301265,101265-701265,any
105598,101270-301270,101270-701270,any
105614,101285-301285,101285-701285,any
105616,101286-301286,101286-701286,any
105617,101286-301286,101286-701286,any
105650,101318-301318,101318-701318,any
105686,101353-301353,101353-701353,any
105693,101359-301359,101359-701359,any
105694,101359-301359,101359-701359,any
105717,101381-301381,101381-701381,any
105728,101391-301391,101391-701391,any
105748,101410-301410,101410-701410,any
105779,101440-301440,101440-701440,any
105787,101447-301447,101447-701447,any
105788,101447-301447,101447-701447,any
105794,101452-301452,101452-701452,any
105803,101460-301460,101460-701460,any
105804,101460-301460,101460-701460,any
105808,101463-301463,101463-701463,any
105813,101467-301467,101467-701467,any
105817,101470-301470,101470-701470,any
105821,101473-301473,101473-701473,any
105830,101481-301481,101481-701481,any
105838,101488-301488,101488-701488,any
105862,101511-301511,101511-701511,any
105866,101514-301514,101514-701514,any
105886,101533-301533,101533-701533,any
105896,101542-301542,101542-701542,any
105907,101552-301552,101552-701552,any
105908,101552-301552,101552-701552,any
105936,101579-301579,101579-701579,any
105938,101580-301580,101580-701580,any
105943,101584-301584,101584-701584,any
105974,101614-301614,101614-701614,any
106014,101653-301653,101653-701653,any
106023,101661-301661,101661-701661,any
106028,101665-301665,101665-701665,any
106039,101675-301675,101675-701675,any
106085,101720-301720,101720-701720,any
106092,101726-301726,101726-701726,any
106103,101736-301736,101736-701736,any
106110,101742-301742,101742-701742,any
106113,101744-301744,101744-701744,any
106118,101748-301748,101748-701748,any
106143,101772-301772,101772-701772,any
106151,101779-301779,101779-701779,any
106153,101780-301780,101780-701780,any
106169,101795-301795,101795-701795,any
106175,101800-301800,101800-701800,any
106176,101800-301800,101800-701800,any
106179,101802-301802,101802-701802,any
106183,101805-301805,101805-701805,any
106252,101873-301873,101873-701873,any
106255,101875-301875,101875-701875,any
106257,101876-301876,101876-701876,any
106273,101891-301891,101891-701891,any
106282,101899-301899,101899-701899,any
106297,101913-301913,101913-701913,any
106306,101921-301921,101921-701921,any
106316,101930-301930,101930-701930,any
106330,101943-301943,101943-701943,any
106334,101946-301946,101946-701946,any
106347,101958-301958,101958-701958,any
106377,101987-301987,101987-701987,any
106395,102004-302004,102004-702004,any
106406,102014-302014,102014-702014,any
106437,102044-302044,102044-702044,any
106491,102097-302097,102097-702097,any
106498,102103-302103,102103-702103,any
106517,102121-302121,102121-702121,any
106538,102141-302141,102141-702141,any
106541,102143-302143,102143-702143,any
106544,102145-302145,102145-702145,any
106546,102146-302146,102146-702146,any
106548,102147-302147,102147-702147,any
106551,102149-302149,102149-702149,any
106554,102151-302151,102151-702151,any
106566,102162-302162,102162-702162,any
106595,102190-302190,102190-702190,any
106627,102221-302221,102221-702221,any
106648,102241-302241,102241-702241,any
106670,102262-302262,102262-702262,any
106679,102270-302270,102270-702270,any
106682,102272-302272,102272-702272,any
106698,102287-302287,102287-702287,any
106700,102288-302288,102288-702288,any
106705,102292-302292,102292-702292,any
106707,102293-302293,102293-702293,any
106721,102306-302306,102306-702306,any
106723,102307-302307,102307-702307,any
106728,102311-302311,102311-702311,any
106733,102315-302315,102315-702315,any
106740,102321-302321,102321-702321,any
106742,102322-302322,102322-702322,any
106748,102327-302327,102327-702327,any
106753,102331-302331,102331-702331,any
106758,102335-302335,102335-702335,any
106760,102336-302336,102336-702336,any
106761,102336-302336,102336-702336,any
106765,102339-302339,102339-702339,any
106780,102353-302353,102353-702353,any
106812,102384-302384,102384-702384,any
106819,102390-302390,102390-702390,any
106838,102408-302408,102408-702408,any
106843,102412-302412,102412-702412,any
106850,102418-302418,102418-702418,any
106889,102456-302456,102456-702456,any
106890,102456-302456,102456-702456,any
106900,102465-302465,102465-702465,any
106910,102474-302474,102474-702474,any
106935,102498-302498,102498-702498,any
106938,102500-302500,102500-702500,any
106942,102503-302503,102503-702503,any
106951,102511-302511,102511-702511,any
106957,102516-302516,102516-702516,any
106961,102519-302519,102519-702519,any
106964,102521-302521,102521-702521,any
106967,102523-302523,102523-702523,any
106972,102527-302527,102527-702527,any
106976,102530-302530,102530-702530,any
106982,102535-302535,102535-702535,any
107096,102648-302648,102648-702648,any
107108,102659-302659,102659-702659,any
107112,102662-302662,102662-702662,any
107123,102672-302672,102672-702672,any
107125,102673-302673,102673-702673,any
107138,102685-302685,102685-702685,any
107160,102706-302706,102706-702706,any
107164,102709-302709,102709-702709,any
107165,102709-302709,102709-702709,any
107190,102733-302733,102733-702733,any
107196,102738-302738,102738-702738,any
107218,102759-302759,102759-702759,any
107231,102771-302771,102771-702771,any
107233,102772-302772,102772-702772,any
107236,102774-302774,102774-702774,any
107242,102779-302779,102779-702779,any
107248,102784-302784,102784-702784,any
107265,102800-302800,102800-702800,any
107276,102810-302810,102810-702810,any
107277,102810-302810,102810-702810,any
107287,102819-302819,102819-702819,any
107302,102833-302833,102833-702833,any
107303,102833-302833,102833-702833,any
107306,102835-302835,102835-702835,any
107308,102836-302836,102836-702836,any
107314,102841-302841,102841-702841,any
107327,102853-302853,102853-702853,any
107373,102898-302898,102898-702898,any
107389,102913-302913,102913-702913,any
107410,102933-302933,102933-702933,any
107411,102933-302933,102933-702933,any
107417,102938-302938,102938-702938,any
107425,102945-302945,102945-702945,any
107433,102952-302952,102952-702952,any
107438,102956-302956,102956-702956,any
107443,102960-302960,102960-702960,any
107452,102968-302968,102968-702968,any
107458,102973-302973,102973-702973,any
107460,102974-302974,102974-702974,any
107479,102992-302992,102992-702992,any
107513,103025-303025,103025-703025,any
107548,103059-303059,103059-703059,any
107575,103085-303085,103085-703085,any
107578,103087-303087,103087-703087,any
107584,103092-303092,103092-703092,any
107597,103104-303104,103104-703104,any
107617,103123-303123,103123-703123,any
107620,103125-303125,103125-703125,any
107624,103128-303128,103128-703128,any
107627,103130-303130,103130-703130,any
107630,103132-303132,103132-703132,any
107658,103159-303159,103159-703159,any
107665,103165-303165,103165-703165,any
107682,103181-303181,103181-703181,any
107737,103235-303235,103235-703235,any
107744,103241-303241,103241-703241,any
107746,103242-303242,103242-703242,any
107762,103257-303257,103257-703257,any
107787,103281-303281,103281-703281,any
107793,103286-303286,103286-703286,any
107801,103293-303293,103293-703293,any
107812,103303-303303,103303-703303,any
107814,103304-303304,103304-703304,any
107827,103316-303316,103316-703316,any
107833,103321-303321,103321-703321,any
107843,103330-303330,103330-703330,any
107845,103331-303331,103331-703331,any
107846,103331-303331,103331-703331,any
107850,103334-303334,103334-703334,any
107882,103365-303365,103365-703365,any
107895,103377-303377,103377-703377,any
107909,103390-303390,103390-703390,any
107910,103390-303390,103390-703390,any
107916,103395-303395,103395-703395,any
107991,103469-303469,103469-703469,any
107998,103475-303475,103475-703475,any
108001,103477-303477,103477-703477,any
108019,103494-303494,103494-703494,any
108023,103497-303497,103497-703497,any
108069,103542-303542,103542-703542,any
108082,103554-303554,103554-703554,any
108083,103554-303554,103554-703554,any
108097,103567-303567,103567-703567,any
108100,103569-303569,103569-703569,any
108103,103571-303571,103571-703571,any
108116,103583-303583,103583-703583,any
108140,103606-303606,103606-703606,any
108147,103612-303612,103612-703612,any
108183,103647-303647,103647-703647,any
108185,103648-303648,103648-703648,any
108196,103658-303658,103658-703658,any
108198,103659-303659,103659-703659,any
108211,103671-303671,103671-703671,any
108233,103692-303692,103692-703692,any
108247,103705-303705,103705-703705,any
108256,103713-303713,103713-703713,any
108273,103729-303729,103729-703729,any
108276,103731-303731,103731-703731,any
108293,103747-303747,103747-703747,any
108301,103754-303754,103754-703754,any
108317,103769-303769,103769-703769,any
108320,103771-303771,103771-703771,any
108328,103778-303778,103778-703778,any
108366,103815-303815,103815-703815,any
108386,103834-303834,103834-703834,any
108390,103837-303837,103837-703837,any
108402,103848-303848,103848-703848,any
108419,103864-303864,103864-703864,any
108426,103870-303870,103870-703870,any
108431,103874-303874,103874-703874,any
108435,103877-303877,103877-703877,any
108438,103879-303879,103879-703879,any
108446,103886-303886,103886-703886,any
108454,103893-303893,103893-703893,any
108464,103902-303902,103902-703902,any
108467,103904-303904,103904-703904,any
108468,103904-303904,103904-703904,any
108470,103905-303905,103905-703905,any
108495,103929-303929,103929-703929,any
108496,103929-303929,103929-703929,any
108502,103934-303934,103934-703934,any
108505,103936-303936,103936-703936,any
108506,103936-303936,103936-703936,any
108510,103939-303939,103939-703939,any
108540,103968-303968,103968-703968,any
108542,103969-303969,103969-703969,any
108557,103983-303983,103983-703983,any
108569,103994-303994,103994-703994,any
108574,103998-303998,103998-703998,any
108594,104017-304017,104017-704017,any
108658,104080-304080,104080-704080,any
108670,104091-304091,104091-704091,any
108681,104101-304101,104101-704101,any
108683,104102-304102,104102-704102,any
108687,104105-304105,104105-704105,any
108699,104116-304116,104116-704116,any
108713,104129-304129,104129-704129,any
108726,104141-304141,104141-704141,any
108741,104155-304155,104155-704155,any
108765,104178-304178,104178-704178,any
108775,104187-304187,104187-704187,any
108779,104190-304190,104190-704190,any
108796,104206-304206,104206-704206,any
108808,104217-304217,104217-704217,any
108815,104223-304223,104223-704223,any
108837,104244-304244,104244-704244,any
108859,104265-304265,104265-704265,any
108887,104292-304292,104292-704292,any
108890,104294-304294,104294-704294,any
108892,104295-304295,104295-704295,any
108907,104309-304309,104309-704309,any
108909,104310-304310,104310-704310,any
108913,104313-304313,104313-704313,any
108914,104313-304313,104313-704313,any
108926,104324-304324,104324-704324,any
108933,104330-304330,104330-704330,any
108945,104341-304341,104341-704341,any
108946,104341-304341,104341-704341,any
108947,104341-304341,104341-704341,any
108960,104353-304353,104353-704353,any
108993,104385-304385,104385-704385,any
108997,104388-304388,104388-704388,any
109001,104391-304391,104391-704391,any
109004,104393-304393,104393-704393,any
109005,104393-304393,104393-704393,any
109009,104396-304396,104396-704396,any
109015,104401-304401,104401-704401,any
109020,104405-304405,104405-704405,any
109039,104423-304423,104423-704423,any
109053,104436-304436,104436-704436,any
109055,104437-304437,104437-704437,any
109067,104448-304448,104448-704448,any
109080,104460-304460,104460-704460,any
109089,104468-304468,104468-704468,any
109097,104475-304475,104475-704475,any
109101,104478-304478,104478-704478,any
109112,104488-304488,104488-704488,any
109117,104492-304492,104492-704492,any
109133,104507-304507,104507-704507,any
109162,104535-304535,104535-704535,any
109165,104537-304537,104537-704537,any
109186,104557-304557,104557-704557,any
109190,104560-304560,104560-704560,any
109193,104562-304562,104562-704562,any
109199,104567-304567,104567-704567,any
109209,104576-304576,104576-704576,any
109227,104593-304593,104593-704593,any
109231,104596-304596,104596-704596,any
109240,104604-304604,104604-704604,any
109273,104636-304636,104636-704636,any
109275,104637-304637,104637-704637,any
109277,104638-304638,104638-704638,any
109282,104642-304642,104642-704642,any
109307,104666-304666,104666-704666,any
109339,104697-304697,104697-704697,any
109351,104708-304708,104708-704708,any
109390,104746-304746,104746-704746,any
109413,104768-304768,104768-704768,any
109414,104768-304768,104768-704768,any
109418,104771-304771,104771-704771,any
109419,104771-304771,104771-704771,any
109421,104772-304772,104772-704772,any
109428,104778-304778,104778-704778,any
109430,104779-304779,104779-704779,any
109434,104782-304782,104782-704782,any
109445,104792-304792,104792-704792,any
109462,104808-304808,104808-704808,any
109463,104808-304808,104808-704808,any
109482,104826-304826,104826-704826,any
109511,104854-304854,104854-704854,any
109517,104859-304859,104859-704859,any
109526,104867-304867,104867-704867,any
109530,104870-304870,104870-704870,any
109532,104871-304871,104871-704871,any
109564,104902-304902,104902-704902,any
109567,104904-304904,104904-704904,any
109570,104906-304906,104906-704906,any
109600,104935-304935,104935-704935,any
109609,104943-304943,104943-704943,any
109611,104944-304944,104944-704944,any
109621,104953-304953,104953-704953,any
109633,104964-304964,104964-704964,any
109638,104968-304968,104968-704968,any
109667,104996-304996,104996-704996,any
109684,105012-305012,105012-705012,any
109702,105029-305029,105029-705029,any
109705,105031-305031,105031-705031,any
109735,105060-305060,105060-705060,any
109762,105086-305086,105086-705086,any
109766,105089-305089,105089-705089,any
109813,105135-305135,105135-705135,any
109814,105135-305135,105135-705135,any
109815,105135-305135,105135-705135,any
109832,105151-305151,105151-705151,any
109833,105151-305151,105151-705151,any
109849,105166-305166,105166-705166,any
109854,105170-305170,105170-705170,any
109856,105171-305171,105171-705171,any
109869,105183-305183,105183-705183,any
109872,105185-305185,105185-705185,any
109881,105193-305193,105193-705193,any
109912,105223-305223,105223-705223,any
109917,105227-305227,105227-705227,any
109921,105230-305230,105230-705230,any
109928,105236-305236,105236-705236,any
109938,105245-305245,105245-705245,any
109952,105258-305258,105258-705258,any
109959,105264-305264,105264-705264,any
109969,105273-305273,105273-705273,any
109973,105276-305276,105276-705276,any
109996,105298-305298,105298-705298,any
109997,105298-305298,105298-705298,any
110003,105303-305303,105303-705303,any
110013,105312-305312,105312-705312,any
110015,105313-305313,105313-705313,any
110028,105325-305325,105325-705325,any
110128,105424-305424,105424-705424,any
110134,105429-305429,105429-705429,any
110138,105432-305432,105432-705432,any
110142,105435-305435,105435-705435,any
110145,105437-305437,105437-705437,any
110150,105441-305441,105441-705441,any
110151,105441-305441,105441-705441,any
110164,105453-305453,105453-705453,any
110171,105459-305459,105459-705459,any
110172,105459-305459,105459-705459,any
110188,105474-305474,105474-705474,any
110199,105484-305484,105484-705484,any
110200,105484-305484,105484-705484,any
110213,105496-305496,105496-705496,any
110226,105508-305508,105508-705508,any
110230,105511-305511,105511-705511,any
110238,105518-305518,105518-705518,any
110239,105518-305518,105518-705518,any
110243,105521-305521,105521-705521,any
110257,105534-305534,105534-705534,any
110279,105555-305555,105555-705555,any
110311,105586-305586,105586-705586,any
110327,105601-305601,105601-705601,any
110331,105604-305604,105604-705604,any
110355,105627-305627,105627-705627,any
110371,105642-305642,105642-705642,any
110373,105643-305643,105643-705643,any
110380,105649-305649,105649-705649,any
110396,105664-305664,105664-705664,any
110402,105669-305669,105669-705669,any
110417,105683-305683,105683-705683,any
110426,105691-305691,105691-705691,any
110442,105706-305706,105706-705706,any
110445,105708-305708,105708-705708,any
110457,105719-305719,105719-705719,any
110458,105719-305719,105719-705719,any
110476,105736-305736,105736-705736,any
110490,105749-305749,105749-705749,any
110510,105768-305768,105768-705768,any
110517,105774-305774,105774-705774,any
110538,105794-305794,105794-705794,any
110554,105809-305809,105809-705809,any
110556,105810-305810,105810-705810,any
110562,105815-305815,105815-705815,any
110563,105815-305815,105815-705815,any
110586,105837-305837,105837-705837,any
110594,105844-305844,105844-705844,any
110597,105846-305846,105846-705846,any
110607,105855-305855,105855-705855,any
110610,105857-305857,105857-705857,any
110622,105868-305868,105868-705868,any
110643,105888-305888,105888-705888,any
110648,105892-305892,105892-705892,any
110663,105906-305906,105906-705906,any
110668,105910-305910,105910-705910,any
110669,105910-305910,105910-705910,any
110677,105917-305917,105917-705917,any
110684,105923-305923,105923-705923,any
110702,105940-305940,105940-705940,any
110713,105950-305950,105950-705950,any
110714,105950-305950,105950-705950,any
110723,105958-305958,105958-705958,any
110747,105981-305981,105981-705981,any
110748,105981-305981,105981-705981,any
110791,106023-306023,106023-706023,any
110794,106025-306025,106025-706025,any
110798,106028-306028,106028-706028,any
110820,106049-306049,106049-706049,any
110844,106072-306072,106072-706072,any
110862,106089-306089,106089-706089,any
110866,106092-306092,106092-706092,any
110871,106096-306096,106096-706096,any
110884,106108-306108,106108-706108,any
110890,106113-306113,106113-706113,any
110908,106130-306130,106130-706130,any
110920,106141-306141,106141-706141,any
110931,106151-306151,106151-706151,any
110946,106165-306165,106165-706165,any
110954,106172-306172,106172-706172,any
110964,106181-306181,106181-706181,any
110965,106181-306181,106181-706181,any
110970,106185-306185,106185-706185,any
110977,106191-306191,106191-706191,any
110978,106191-306191,106191-706191,any
110981,106193-306193,106193-706193,any
110998,106209-306209,106209-706209,any
111020,106230-306230,106230-706230,any
111058,106267-306267,106267-706267,any
111066,106274-306274,106274-706274,any
111067,106274-306274,106274-706274,any
111095,106301-306301,106301-706301,any
111128,106333-306333,106333-706333,any
111129,106333-306333,106333-706333,any
111130,106333-306333,106333-706333,any
111163,106365-306365,106365-706365,any
111169,106370-306370,106370-706370,any
111177,106377-306377,106377-706377,any
111189,106388-306388,106388-706388,any
111218,106416-306416,106416-706416,any
111224,106421-306421,106421-706421,any
111232,106428-306428,106428-706428,any
111238,106433-306433,106433-706433,any
111243,106437-306437,106437-706437,any
111252,106445-306445,106445-706445,any
111256,106448-306448,106448-706448,any
111268,106459-306459,106459-706459,any
111275,106465-306465,106465-706465,any
111283,106472-306472,106472-706472,any
111296,106484-306484,106484-706484,any
111306,106493-306493,106493-706493,any
111319,106505-306505,106505-706505,any
111321,106506-306506,106506-706506,any
111332,106516-306516,106516-706516,any
111363,106546-306546,106546-706546,any
111377,106559-306559,106559-706559,any
111387,106568-306568,106568-706568,any
111394,106574-306574,106574-706574,any
111398,106577-306577,106577-706577,any
111415,106593-306593,106593-706593,any
111423,106600-306600,106600-706600,any
111445,106621-306621,106621-706621,any
111450,106625-306625,106625-706625,any
111467,106641-306641,106641-706641,any
111469,106642-306642,106642-706642,any
111476,106648-306648,106648-706648,any
111483,106654-306654,106654-706654,any
111499,106669-306669,106669-706669,any
111502,106671-306671,106671-706671,any
111520,106688-306688,106688-706688,any
111545,106712-306712,106712-706712,any
111558,106724-306724,106724-706724,any
111563,106728-306728,106728-706728,any
111567,106731-306731,106731-706731,any
111589,106752-306752,106752-706752,any
111625,106787-306787,106787-706787,any
111675,106836-306836,106836-706836,any
111676,106836-306836,106836-706836,any
111679,106838-306838,106838-706838,any
111696,106854-306854,106854-706854,any
111697,106854-306854,106854-706854,any
111700,106856-306856,106856-706856,any
111746,106901-306901,106901-706901,any
111772,106926-306926,106926-706926,any
111795,106948-306948,106948-706948,any
111797,106949-306949,106949-706949,any
111829,106980-306980,106980-706980,any
111836,106986-306986,106986-706986,any
111843,106992-306992,106992-706992,any
111883,107031-307031,107031-707031,any
111891,107038-307038,107038-707038,any
111895,107041-307041,107041-707041,any
111900,107045-307045,107045-707045,any
111916,107060-307060,107060-707060,any
111939,107082-307082,107082-707082,any
111949,107091-307091,107091-707091,any
111957,107098-307098,107098-707098,any
111959,107099-307099,107099-707099,any
111961,107100-307100,107100-707100,any
111963,107101-307101,107101-707101,any
111971,107108-307108,107108-707108,any
111979,107115-307115,107115-707115,any
111985,107120-307120,107120-707120,any
111994,107128-307128,107128-707128,any
112031,107164-307164,107164-707164,any
112062,107194-307194,107194-707194,any
112074,107205-307205,107205-707205,any
112077,107207-307207,107207-707207,any
112093,107222-307222,107222-707222,any
112115,107243-307243,107243-707243,any
112130,107257-307257,107257-707257,any
112131,107257-307257,107257-707257,any
112137,107262-307262,107262-707262,any
112139,107263-307263,107263-707263,any
112158,107281-307281,107281-707281,any
112160,107282-307282,107282-707282,any
112164,107285-307285,107285-707285,any
112176,107296-307296,107296-707296,any
112181,107300-307300,107300-707300,any
112200,107318-307318,107318-707318,any
112212,107329-307329,107329-707329,any
112262,107378-307378,107378-707378,any
112263,107378-307378,107378-707378,any
112264,107378-307378,107378-707378,any
112269,107382-307382,107382-707382,any
112271,107383-307383,107383-707383,any
112283,107394-307394,107394-707394,any
112284,107394-307394,107394-707394,any
112291,107400-307400,107400-707400,any
112305,107413-307413,107413-707413,any
112310,107417-307417,107417-707417,any
112318,107424-307424,107424-707424,any
112320,107425-307425,107425-707425,any
112351,107455-307455,107455-707455,any
112358,107461-307461,107461-707461,any
112362,107464-307464,107464-707464,any
112376,107477-307477,107477-707477,any
112383,107483-307483,107483-707483,any
112388,107487-307487,107487-707487,any
112403,107501-307501,107501-707501,any
112432,107529-307529,107529-707529,any
112453,107549-307549,107549-707549,any
112459,107554-307554,107554-707554,any
112494,107588-307588,107588-707588,any
112497,107590-307590,107590-707590,any
112507,107599-307599,107599-707599,any
112512,107603-307603,107603-707603,any
112517,107607-307607,107607-707607,any
112554,107643-307643,107643-707643,any
112561,107649-307649,107649-707649,any
112564,107651-307651,107651-707651,any
112584,107670-307670,107670-707670,any
112607,107692-307692,107692-707692,any
112627,107711-307711,107711-707711,any
112650,107733-307733,107733-707733,any
112660,107742-307742,107742-707742,any
112668,107749-307749,107749-707749,any
112683,107763-307763,107763-707763,any
112693,107772-307772,107772-707772,any
112706,107784-307784,107784-707784,any
112731,107808-307808,107808-707808,any
112754,107830-307830,107830-707830,any
112761,107836-307836,107836-707836,any
112763,107837-307837,107837-707837,any
112780,107853-307853,107853-707853,any
112791,107863-307863,107863-707863,any
112795,107866-307866,107866-707866,any
112797,107867-307867,107867-707867,any
112819,107888-307888,107888-707888,any
112820,107888-307888,107888-707888,any
112821,107888-307888,107888-707888,any
112835,107901-307901,107901-707901,any
112840,107905-307905,107905-707905,any
112847,107911-307911,107911-707911,any
112854,107917-307917,107917-707917,any
112860,107922-307922,107922-707922,any
112871,107932-307932,107932-707932,any
112873,107933-307933,107933-707933,any
112900,107959-307959,107959-707959,any
112906,107964-307964,107964-707964,any
112929,107986-307986,107986-707986,any
112941,107997-307997,107997-707997,any
112942,107997-307997,107997-707997,any
112945,107999-307999,107999-707999,any
112952,108005-308005,108005-708005,any
112956,108008-308008,108008-708008,any
112959,108010-308010,108010-708010,any
112963,108013-308013,108013-708013,any
112967,108016-308016,108016-708016,any
112974,108022-308022,108022-708022,any
113000,108047-308047,108047-708047,any
113035,108081-308081,108081-708081,any
113044,108089-308089,108089-708089,any
113054,108098-308098,108098-708098,any
113062,108105-308105,108105-708105,any
113080,108122-308122,108122-708122,any
113094,108135-308135,108135-708135,any
113099,108139-308139,108139-708139,any
113106,108145-308145,108145-708145,any
113120,108158-308158,108158-708158,any
113129,108166-308166,108166-708166,any
113147,108183-308183,108183-708183,any
113151,108186-308186,108186-708186,any
113163,108197-308197,108197-708197,any
113175,108208-308208,108208-708208,any
113176,108208-308208,108208-708208,any
113185,108216-308216,108216-708216,any
113198,108228-308228,108228-708228,any
113200,108229-308229,108229-708229,any
113203,108231-308231,108231-708231,any
113211,108238-308238,108238-708238,any
113234,108260-308260,108260-708260,any
113253,108278-308278,108278-708278,any
113290,108314-308314,108314-708314,any
113301,108324-308324,108324-708324,any
113307,108329-308329,108329-708329,any
113309,108330-308330,108330-708330,any
113322,108342-308342,108342-708342,any
113323,108342-308342,108342-708342,any
113324,108342-308342,108342-708342,any
113326,108343-308343,108343-708343,any
113337,108353-308353,108353-708353,any
113364,108379-308379,108379-708379,any
113390,108404-308404,108404-708404,any
113397,108410-308410,108410-708410,any
113398,108410-308410,108410-708410,any
113434,108445-308445,108445-708445,any
113436,108446-308446,108446-708446,any
113440,108449-308449,108449-708449,any
113443,108451-308451,108451-708451,any
113464,108471-308471,108471-708471,any
113466,108472-308472,108472-708472,any
113481,108486-308486,108486-708486,any
113491,108495-308495,108495-708495,any
113501,108504-308504,108504-708504,any
113504,108506-308506,108506-708506,any
113511,108512-308512,108512-708512,any
113513,108513-308513,108513-708513,any
113515,108514-308514,108514-708514,any
113530,108528-308528,108528-708528,any
113543,108540-308540,108540-708540,any
113544,108540-308540,108540-708540,any
113545,108540-308540,108540-708540,any
113546,108540-308540,108540-708540,any
113550,108543-308543,108543-708543,any
113555,108547-308547,108547-708547,any
113571,108562-308562,108562-708562,any
113597,108587-308587,108587-708587,any
113598,108587-308587,108587-708587,any
113601,108589-308589,108589-708589,any
113635,108622-308622,108622-708622,any
113654,108640-308640,108640-708640,any
113658,108643-308643,108643-708643,any
113667,108651-308651,108651-708651,any
113688,108671-308671,108671-708671,any
113700,108682-308682,108682-708682,any
113703,108684-308684,108684-708684,any
113750,108730-308730,108730-708730,any
113756,108735-308735,108735-708735,any
113760,108738-308738,108738-708738,any
113770,108747-308747,108747-708747,any
113806,108782-308782,108782-708782,any
113823,108798-308798,108798-708798,any
113838,108812-308812,108812-708812,any
113868,108841-308841,108841-708841,any
113870,108842-308842,108842-708842,any
113912,108883-308883,108883-708883,any
113913,108883-308883,108883-708883,any
113915,108884-308884,108884-708884,any
113929,108897-308897,108897-708897,any
113936,108903-308903,108903-708903,any
113948,108914-308914,108914-708914,any
113959,108924-308924,108924-708924,any
113987,108951-308951,108951-708951,any
113995,108958-308958,108958-708958,any
114008,108970-308970,108970-708970,any
114011,108972-308972,108972-708972,any
114032,108992-308992,108992-708992,any
114043,109002-309002,109002-709002,any
114045,109003-309003,109003-709003,any
114053,109010-309010,109010-709010,any
114055,109011-309011,109011-709011,any
114056,109011-309011,109011-709011,any
114059,109013-309013,109013-709013,any
114060,109013-309013,109013-709013,any
114062,109014-309014,109014-709014,any
114079,109030-309030,109030-709030,any
114117,109067-309067,109067-709067,any
114150,109099-309099,109099-709099,any
